Callsign,Aircraft,Departure ICAO,Destination ICAO,Contributor,AIRAC validity,Date added
SYB088,F2TH,BIKF,LFMN,11201,2509,07 Sep 25
ADB7040,A124,EINN,EDFH,11201,2509,07 Sep 25
OAE504,B772,EINN,KGRK,11201,2509,07 Sep 25
N2673D,C340,EIWT,EINN,11201,2509,07 Sep 25
OYO1,P180,LFPB,LFQQ,11201,2509,07 Sep 25
MYJ992,GALX,LFPB,LTAC,11201,2509,07 Sep 25
HMJ209,FA10,LFLY,LFPB,11201,2509,07 Sep 25
N737ER,B737,LFPB,LGKR,11201,2509,07 Sep 25
OOTBB,SF50,LFMN,EBAW,11201,2509,07 Sep 25
N7X,FA7X,LGIR,OERK,11201,2509,07 Sep 25
VH8MJ,GLEX,VRMM,EGKB,11201,2509,07 Sep 25
B8288,GLF5,VHHH,LGAV,11201,2509,07 Sep 25
RFE7752,GLEX,OMDB,UUEE,11201,2509,07 Sep 25
N988H,FA8X,LSGG,OMDB,11201,2509,07 Sep 25
VPCYP,GL7T,ESSA,OMSJ,11201,2509,07 Sep 25
ETD42B,A388,EGLL,OMAA,11201,2509,07 Sep 25
6VSEN,A20N,GOOY,OMAA,11201,2509,07 Sep 25
AFL530,A20N,UUEE,OMAA,11201,2509,07 Sep 25
ROJ008,B737,OMAL,LSGG,11201,2509,07 Sep 25
N410F,FA8X,OMAD,EDDB,11201,2509,07 Sep 25
VJH812,E190,OMAD,LEPA,11201,2509,07 Sep 25
VPCZA,GLF6,GMME,OMAD,11201,2509,07 Sep 25
MLM005,BCS1,OMDW,LEIB,11201,2509,07 Sep 25
PVV8864,B742,GMFO,OMDW,11201,2509,07 Sep 25
ALE900,F900,OMDW,LSGG,11201,2509,07 Sep 25
N556CH,GLF6,EGLF,KCHS,11201,2509,07 Sep 25
N16HA,FA7X,KTEB,LIMJ,11201,2509,07 Sep 25
EXS9AG,A21N,GCRR,EGBB,11201,2509,07 Sep 25
WZZ9DE,A321,EPGD,LEBL,11201,2509,07 Sep 25
EXS8WJ,A21N,EGBB,GCRR,11201,2509,07 Sep 25
AMQ724,A320,EPKT,LICJ,11201,2509,07 Sep 25
EWG8M,A319,EDDS,LEVC,11201,2510,07 Sep 25
MSR789,B738,HECA,LKPR,11201,2509,07 Sep 25
SVI7738,A320,HESH,LICC,11201,2509,07 Sep 25
WZZ12BK,A321,ENHD,EPGD,11201,2509,07 Sep 25
RSX6447,B738,HESH,LIRN,11201,2509,07 Sep 25
SEU562,B737,ESKN,LUKK,11201,2509,07 Sep 25
SEU561,B737,LUKK,ESKN,11201,2509,07 Sep 25
RYR6EC,B738,LIPE,LOWW,11201,2509,07 Sep 25
AEE6002,A20N,LGAV,LGAV,11201,2509,07 Sep 25
AEE6129,A320,ESMT,ESSV,11201,2509,07 Sep 25
ETD377,B789,VRMM,OMAA,jessy0506,2509,07 Sep 25
DLH51X,A320,LFMN,EDDF,Peteking,2509,07 Sep 25
ETD108,B789,LEMG,OMAA,jessy0506,2509,07 Sep 25
ETD3RH,B77W,EGCC,OMAA,jessy0506,2509,07 Sep 25
ETD36V,B77W,LIMC,OMAA,jessy0506,2509,07 Sep 25
ETD87A,B77W,LPPT,OMAA,jessy0506,2509,07 Sep 25
SIA26,B77W,EDDF,KJFK,Peteking,2509,07 Sep 25
EXS48H,A21N,LDDU,EGCC,Peteking,2509,07 Sep 25
EXS67DU,A21N,EGCC,LDDU,Peteking,2509,07 Sep 25
EWG2UB,A320,EDDL,EDDM,Peteking,2509,07 Sep 25
NMA7701,A320,GCLP,HECA,Peteking,2509,07 Sep 25
NMA7420,A320,HELX,LEBB,Peteking,2509,07 Sep 25
NMA7700,A320,LEBB,GCLP,Peteking,2509,07 Sep 25
AFR435,A359,SKBO,LFPG,Peteking,2509,07 Sep 25
EZY73YE,A320,LYTV,EGCC,Peteking,2509,07 Sep 25
ETD3RH,B77W,EGCC,OMAA,jessy0506,2509,06 Sep 25
ETD815,B789,RJBB,OMAA,jessy0506,2509,06 Sep 25
ETD842,B789,UUEE,OMAA,jessy0506,2509,06 Sep 25
ETD477,B77W,WADD,OMAA,jessy0506,2509,06 Sep 25
