continent,airport,totalFlights,totalPages,page_per_day,page_per_day_cum_sum
Europe,LTN,2267.0,24.0,0.16,84.31333333333338
Europe,GLA,2142.0,25.0,0.16666666666666666,84.48000000000005
Europe,MLA,2131.0,26.0,0.17333333333333334,84.65333333333338
Europe,SPU,2063.0,22.0,0.14666666666666667,84.80000000000004
Europe,STR,2039.0,22.0,0.14666666666666667,84.9466666666667
Europe,LPA,1980.0,24.0,0.16,85.1066666666667
Europe,HAJ,1919.0,22.0,0.14666666666666667,85.25333333333336
Europe,NUE,1872.0,20.0,0.13333333333333333,85.3866666666667
Europe,SVQ,1834.0,22.0,0.14666666666666667,85.53333333333336
Europe,GOA,1831.0,20.0,0.13333333333333333,85.6666666666667
Europe,BDS,1799.0,23.0,0.15333333333333332,85.82000000000004
Europe,ABZ,1780.0,20.0,0.13333333333333333,85.95333333333338
Europe,LUX,1762.0,20.0,0.13333333333333333,86.08666666666672
Europe,AHO,1746.0,22.0,0.14666666666666667,86.23333333333338
Europe,ZAG,1683.0,18.0,0.12,86.35333333333338
Europe,VBY,1673.0,18.0,0.12,86.47333333333339
Europe,BES,1643.0,18.0,0.12,86.59333333333339
Europe,PUF,1642.0,19.0,0.12666666666666668,86.72000000000006
Europe,LLA,1636.0,17.0,0.11333333333333333,86.83333333333339
Europe,SUF,1550.0,20.0,0.13333333333333333,86.96666666666673
Europe,TIA,1549.0,24.0,0.16,87.12666666666672
Europe,FAE,1531.0,21.0,0.14,87.26666666666672
Europe,OLB,1446.0,18.0,0.12,87.38666666666673
Europe,MMX,1410.0,16.0,0.10666666666666667,87.4933333333334
Europe,RHO,1377.0,21.0,0.14,87.6333333333334
Europe,SKG,1335.0,18.0,0.12,87.7533333333334
Europe,UME,1321.0,14.0,0.09333333333333334,87.84666666666674
Europe,DBV,1312.0,16.0,0.10666666666666667,87.9533333333334
Europe,VGO,1217.0,14.0,0.09333333333333334,88.04666666666674
Europe,NWI,1213.0,14.0,0.09333333333333334,88.14000000000007
Europe,TRF,1188.0,15.0,0.1,88.24000000000007
Europe,GDN,1184.0,12.0,0.08,88.32000000000006
Europe,TFS,1180.0,14.0,0.09333333333333334,88.4133333333334
Europe,BRE,1178.0,12.0,0.08,88.4933333333334
Europe,KSU,1169.0,14.0,0.09333333333333334,88.58666666666673
Europe,TGD,1156.0,14.0,0.09333333333333334,88.68000000000006
Europe,LBA,1139.0,14.0,0.09333333333333334,88.7733333333334
Europe,LCG,1087.0,12.0,0.08,88.8533333333334
Europe,AAR,1083.0,12.0,0.08,88.9333333333334
Europe,FNC,1071.0,15.0,0.1,89.03333333333339
Europe,SOU,1068.0,12.0,0.08,89.11333333333339
Europe,ZTH,1049.0,12.0,0.08,89.19333333333338
Europe,PLQ,1039.0,15.0,0.1,89.29333333333338
Europe,ORK,1030.0,12.0,0.08,89.37333333333338
Europe,RMO,1010.0,14.0,0.09333333333333334,89.46666666666671
Europe,VAR,1009.0,14.0,0.09333333333333334,89.56000000000004
Europe,CFU,1003.0,14.0,0.09333333333333334,89.65333333333338
Europe,HAU,990.0,12.0,0.08,89.73333333333338
Europe,TFN,956.0,11.0,0.07333333333333333,89.80666666666671
Europe,LJU,955.0,12.0,0.08,89.88666666666671
Europe,CWL,947.0,10.0,0.06666666666666667,89.95333333333338
Europe,MAH,947.0,14.0,0.09333333333333334,90.04666666666671
Europe,TRS,939.0,12.0,0.08,90.12666666666671
Europe,HUY,916.0,10.0,0.06666666666666667,90.19333333333337
Europe,TSR,864.0,9.0,0.06,90.25333333333337
Europe,PGF,851.0,10.0,0.06666666666666667,90.32000000000004
Europe,IAS,849.0,10.0,0.06666666666666667,90.3866666666667
Europe,JTR,828.0,12.0,0.08,90.4666666666667
Europe,KGS,828.0,12.0,0.08,90.5466666666667
Europe,TLN,825.0,10.0,0.06666666666666667,90.61333333333336
Europe,CLJ,804.0,9.0,0.06,90.67333333333336
Europe,VRN,790.0,10.0,0.06666666666666667,90.74000000000002
Europe,BFS,776.0,11.0,0.07333333333333333,90.81333333333336
Europe,ACE,762.0,13.0,0.08666666666666667,90.90000000000003
Europe,SKP,757.0,10.0,0.06666666666666667,90.9666666666667
Europe,INV,752.0,8.0,0.05333333333333334,91.02000000000002
Europe,MME,748.0,8.0,0.05333333333333334,91.07333333333335
Europe,PSA,726.0,10.0,0.06666666666666667,91.14000000000001
