continent,subcontinent,country,iata,country_code,region_name,icao,airport,latitude,longitude
Europe,Central Europe,Slovakia,TAT,SK,Presovsky kraj,LZTT,Poprad-Tatry Airport,49.0736,20.2411
Europe,Central Europe,Slovakia,ILZ,SK,Zilinsky kraj,LZZI,Zilina Airport,49.2315,18.6135
Europe,Central Europe,Switzerland,BSL,CH,Basel-City,LFSB,EuroAirport Basel Mulhouse Freiburg,47.59,7.52916
Europe,Central Europe,Switzerland,BRN,CH,Bern,LSZB,Bern Airport,46.9141,7.49715
Europe,Central Europe,Switzerland,GVA,CH,Geneve,LSGG,Geneva Airport,46.2381,6.10895
Europe,Central Europe,Switzerland,LUG,CH,Ticino,LSZA,Lugano Airport,46.0043,8.91058
Europe,Central Europe,Switzerland,ACH,CH,Sankt Gallen,LSZR,St. Gallen-Altenrhein Airport,47.485,9.56077
Europe,Central Europe,Switzerland,ZRH,CH,Zurich,LSZH,Zurich Airport,47.4647,8.54917
Europe,Southern Europe,Croatia,BWK,HR,Splitsko-dalmatinska zupanija,LDSB,Bol Airport (Brac Airport),43.2857,16.6797
Europe,Southern Europe,Croatia,DBV,HR,Dubrovacko-neretvanska zupanija,LDDU,Dubrovnik Airport,42.5614,18.2682
Europe,Southern Europe,Croatia,LSZ,HR,Primorsko-goranska zupanija,LDLO,Losinj Airport,44.5658,14.3931
Europe,Southern Europe,Croatia,OSI,HR,Osjecko-baranjska zupanija,LDOS,Osijek Airport,45.4627,18.8102
Europe,Southern Europe,Croatia,PUY,HR,Istarska zupanija,LDPL,Pula Airport,44.8935,13.9222
Europe,Southern Europe,Croatia,RJK,HR,Primorsko-goranska zupanija,LDRI,Rijeka Airport,45.2169,14.5703
Europe,Southern Europe,Croatia,SPU,HR,Splitsko-dalmatinska zupanija,LDSP,Split Airport,43.5389,16.298
Europe,Southern Europe,Croatia,ZAD,HR,Zadarska zupanija,LDZD,Zadar Airport,44.1083,15.3467
Europe,Southern Europe,Croatia,ZAG,HR,Grad Zagreb,LDZA,Zagreb Airport,45.7429,16.0688
Europe,Southern Europe,Greece,ATH,GR,Attiki,LGAV,Athens International Airport (Eleftherios Venizelos Airport),37.9364,23.9445
Europe,Southern Europe,Greece,EFL,GR,Ionia Nisia,LGKF,Kefalonia International Airport,38.1201,20.5005
Europe,Southern Europe,Greece,CHQ,GR,Kriti,LGSA,Chania International Airport,35.5317,24.1497
Europe,Southern Europe,Greece,JKH,GR,Voreio Aigaio,LGHI,Chios Island National Airport,38.3432,26.1406
Europe,Southern Europe,Greece,CFU,GR,Ionia Nisia,LGKR,Corfu International Airport (Ioannis Kapodistrias Int'l Airport),39.6019,19.9117
Europe,Southern Europe,Greece,HER,GR,Kriti,LGIR,Heraklion International Airport (Nikos Kazantzakis Airport),35.3397,25.1803
Europe,Southern Europe,Greece,KLX,GR,Peloponnisos,LGKL,Kalamata International Airport,37.0683,22.0255
Europe,Southern Europe,Greece,AOK,GR,Notio Aigaio,LGKP,Karpathos Island National Airport,35.4214,27.146
Europe,Southern Europe,Greece,KVA,GR,Anatoliki Makedonia kai Thraki,LGKV,Kavala International Airport (Alexander the Great Airport),40.9133,24.6192
Europe,Southern Europe,Greece,KGS,GR,Notio Aigaio,LGKO,Kos Island International Airport,36.7933,27.0917
Europe,Southern Europe,Greece,JMK,GR,Notio Aigaio,LGMK,Mykonos Island National Airport,37.4351,25.3481
Europe,Southern Europe,Greece,MJT,GR,Voreio Aigaio,LGMT,Mytilene International Airport,39.0567,26.5983
Europe,Southern Europe,Greece,PVK,GR,Ionia Nisia,LGPZ,Aktion National Airport,38.9255,20.7653
Europe,Southern Europe,Greece,RHO,GR,Notio Aigaio,LGRP,Rhodes International Airport,36.4054,28.0862
Europe,Southern Europe,Greece,SMI,GR,Voreio Aigaio,LGSM,Samos International Airport,37.69,26.9117
Europe,Southern Europe,Greece,JTR,GR,Notio Aigaio,LGSR,Santorini (Thira) National Airport,36.3992,25.4793
Europe,Southern Europe,Greece,JSI,GR,Thessalia,LGSK,Skiathos Island National Airport,39.1771,23.5037
Europe,Southern Europe,Greece,SKU,GR,Sterea Ellada,LGSY,Skyros Island National Airport,38.9676,24.4872
Europe,Southern Europe,Greece,SKG,GR,Kentriki Makedonia,LGTS,Thessaloniki Airport,40.5197,22.9709
Europe,Southern Europe,Greece,VOL,GR,Thessalia,LGBL,Nea Anchialos National Airport,39.2196,22.7943
Europe,Southern Europe,Greece,ZTH,GR,Ionia Nisia,LGZA,Zakynthos International Airport (Dionysios SolomosAirport),37.7509,20.8843
Europe,Southern Europe,Italy,AHO,IT,Sardegna,LIEA,Alghero-Fertilia Airport,40.6321,8.29077
Europe,Southern Europe,Italy,AOI,IT,Marche,LIPY,Ancona Falconara Airport,43.6163,13.3623
Europe,Southern Europe,Italy,BRI,IT,Puglia,LIBD,Bari Karol Wojtyla Airport,41.1389,16.7606
Europe,Southern Europe,Italy,BGY,IT,Lombardia,LIME,Milan Bergamo Airport,45.66546,9.69948
Europe,Southern Europe,Italy,BLQ,IT,Emilia-Romagna,LIPE,Bologna Guglielmo Marconi Airport,44.5354,11.2887
Europe,Southern Europe,Italy,VBS,IT,Lombardia,LIPO,Brescia Airport (Gabriele D'Annunzio Airport),45.4289,10.3306
