,request,nb_of_pages_already_retrieved,total_flights,page.totalPages
118,afklm_api_data_collection_arrivalCity=AMS&departureCity=VNO&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,307,4
119,afklm_api_data_collection_arrivalCity=AMS&departureCity=VRN&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,171,2
120,afklm_api_data_collection_arrivalCity=AMS&departureCity=WAW&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,1221,13
121,afklm_api_data_collection_arrivalCity=AMS&departureCity=WRO&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,304,4
122,afklm_api_data_collection_arrivalCity=AMS&departureCity=ZAG&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,457,5
123,afklm_api_data_collection_arrivalCity=AMS&departureCity=ZRH&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,1565,16
124,afklm_api_data_collection_arrivalCity=AMS&departureCity=ZTH&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,489,5
125,afklm_api_data_collection_arrivalCity=AMS&endRange=2025-08-07T23_59_59Z&startRange=2025-08-01T23_59_59Z,43,4396,44
170,afklm_api_data_collection_arrivalCity=AOK&departureCity=AMS&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,105,2
171,afklm_api_data_collection_arrivalCity=DXB,0,1,1
172,afklm_api_data_collection_arrivalCity=LON&endRange=2025-08-07T23_59_59Z&startRange=2025-08-01T23_59_59Z,5,591,6
179,afklm_api_data_collection_arrivalCity=MAD&endRange=2025-08-07T23_59_59Z&startRange=2025-08-01T23_59_59Z,3,373,4
184,afklm_api_data_collection_arrivalCity=PAR&endRange=2025-08-07T23_59_59Z&startRange=2025-08-01T23_59_59Z,63,6317,64
249,afklm_api_data_collection_departureCity=AMS&endRange=2025-08-07T23_59_59Z&startRange=2025-08-01T23_59_59Z,43,4374,44
294,afklm_api_data_collection_departureCity=DXB,0,41,1
295,afklm_api_data_collection_departureCity=LON&endRange=2025-08-07T23_59_59Z&startRange=2025-08-01T23_59_59Z,5,572,6
302,afklm_api_data_collection_departureCity=MAD&endRange=2025-08-07T23_59_59Z&startRange=2025-08-01T23_59_59Z,3,395,4
307,afklm_api_data_collection_departureCity=PAR&endRange=2025-08-07T23_59_59Z&startRange=2025-08-01T23_59_59Z,63,6332,64
372,afklm_api_data_collection_destination=PMI&origin=MAD&endRange=2025-08-07T23_59_59Z&startRange=2025-08-01T23_59_59Z,0,33,1
374,afklm_api_data_collection_endRange=2025-07-23T23_59_59Z&startRange=2025-07-21T09_00_00Z,11,28944,290
385,afklm_api_data_collection_endRange=2025-08-23T23_59_59Z&startRange=2025-08-21T09_00_00Z,279,27920,280
666,afklm_api_data_collection_endRange=2025-08-26T23_59_59Z&startRange=2025-08-25T09_00_00Z,175,17539,176
843,afklm_api_data_collection_endRange=2025-08-28T23_59_59Z&startRange=2025-08-27T09_00_00Z,6,17911,180
