,departure_icao,destination_icao,callsign,departure_continent,departure_subcontinent,departure_country,departure_iata,departure_country_code,departure_region_name,departure_airport,departure_latitude,departure_longitude,destination_continent,destination_subcontinent,destination_country,destination_iata,destination_country_code,destination_region_name,destination_airport,destination_latitude,destination_longitude
99,BIKF,KMCO,1,Europe,Nordic Region,Iceland,KEF,IS,Sudurnes,Keflavík International Airport,63.985,-22.6056,Americas,North America,United States,MCO,US,Florida,Orlando International Airport,28.4294,-81.309
100,BIKF,KMDW,1,Europe,Nordic Region,Iceland,KEF,IS,Sudurnes,Keflavík International Airport,63.985,-22.6056,Americas,North America,United States,MDW,US,Illinois,Chicago Midway International Airport,41.7861,-87.7525
101,BIKF,KMKE,1,Europe,Nordic Region,Iceland,KEF,IS,Sudurnes,Keflavík International Airport,63.985,-22.6056,Americas,North America,United States,MKE,US,Wisconsin,General Mitchell International Airport,42.9472,-87.8966
102,BIKF,KMSP,9,Europe,Nordic Region,Iceland,KEF,IS,Sudurnes,Keflavík International Airport,63.985,-22.6056,Americas,North America,United States,MSP,US,Minnesota,Minneapolis-Saint Paul International Airport (Wold-Chamberlain Field),44.882,-93.2218
103,BIKF,KORD,4,Europe,Nordic Region,Iceland,KEF,IS,Sudurnes,Keflavík International Airport,63.985,-22.6056,Americas,North America,United States,ORD,US,Illinois,Chicago O'Hare International Airport,41.9786,-87.9047
104,BIKF,KPDX,4,Europe,Nordic Region,Iceland,KEF,IS,Sudurnes,Keflavík International Airport,63.985,-22.6056,Americas,North America,United States,PDX,US,Oregon,Portland International Airport,45.5887,-122.598
105,BIKF,KPVD,2,Europe,Nordic Region,Iceland,KEF,IS,Sudurnes,Keflavík International Airport,63.985,-22.6056,Americas,North America,United States,PVD,US,Rhode Island,Theodore Francis Green State Airport,41.7326,-71.4204
106,BIKF,KPWM,1,Europe,Nordic Region,Iceland,KEF,IS,Sudurnes,Keflavík International Airport,63.985,-22.6056,Americas,North America,United States,PWM,US,Maine,Portland International Jetport,43.6462,-70.3093
107,BIKF,KRIC,1,Europe,Nordic Region,Iceland,KEF,IS,Sudurnes,Keflavík International Airport,63.985,-22.6056,Americas,North America,United States,RIC,US,Virginia,Richmond International Airport,37.5052,-77.3197
108,BIKF,KROC,1,Europe,Nordic Region,Iceland,KEF,IS,Sudurnes,Keflavík International Airport,63.985,-22.6056,Americas,North America,United States,ROC,US,New York,Greater Rochester International Airport,43.1189,-77.6724
109,BIKF,KSAN,2,Europe,Nordic Region,Iceland,KEF,IS,Sudurnes,Keflavík International Airport,63.985,-22.6056,Americas,North America,United States,SAN,US,California,San Diego International Airport,32.7336,-117.19
110,BIKF,KSAV,1,Europe,Nordic Region,Iceland,KEF,IS,Sudurnes,Keflavík International Airport,63.985,-22.6056,Americas,North America,United States,SAV,US,Georgia,Savannah/Hilton Head International Airport,32.1276,-81.2021
111,BIKF,KSEA,5,Europe,Nordic Region,Iceland,KEF,IS,Sudurnes,Keflavík International Airport,63.985,-22.6056,Americas,North America,United States,SEA,US,Washington,Seattle-Tacoma International Airport,47.449,-122.309
112,BIKF,KSFO,4,Europe,Nordic Region,Iceland,KEF,IS,Sudurnes,Keflavík International Airport,63.985,-22.6056,Americas,North America,United States,SFO,US,California,San Francisco International Airport,37.619,-122.375
113,BIKF,KSJC,2,Europe,Nordic Region,Iceland,KEF,IS,Sudurnes,Keflavík International Airport,63.985,-22.6056,Americas,North America,United States,SJC,US,California,San Jose International Airport,37.3626,-121.929
114,BIKF,KSLC,1,Europe,Nordic Region,Iceland,KEF,IS,Sudurnes,Keflavík International Airport,63.985,-22.6056,Americas,North America,United States,SLC,US,Utah,Salt Lake City International Airport,40.7884,-111.978
115,BIKF,KSWF,4,Europe,Nordic Region,Iceland,KEF,IS,Sudurnes,Keflavík International Airport,63.985,-22.6056,Americas,North America,United States,SWF,US,New York,New York Stewart International Airport,41.5042,-74.1047
116,BIKF,LBSF,1,Europe,Nordic Region,Iceland,KEF,IS,Sudurnes,Keflavík International Airport,63.985,-22.6056,Europe,Eastern Europe,Bulgaria,SOF,BG,Sofia,Sofia Airport,42.6967,23.4114
117,BIKF,LDDU,1,Europe,Nordic Region,Iceland,KEF,IS,Sudurnes,Keflavík International Airport,63.985,-22.6056,Europe,Southern Europe,Croatia,DBV,HR,Dubrovacko-neretvanska zupanija,Dubrovnik Airport,42.5614,18.2682
118,BIKF,LDRI,1,Europe,Nordic Region,Iceland,KEF,IS,Sudurnes,Keflavík International Airport,63.985,-22.6056,Europe,Southern Europe,Croatia,RJK,HR,Primorsko-goranska zupanija,Rijeka Airport,45.2169,14.5703
